,Source,Destination,num_packets,avg_packet_length,max_packet_length,min_packet_length,time_gaps,max_time_gaps,min_time_gaps,cluster
386,230,125,49,60.0,60,60,1.401,10.218,0.008,0
387,231,125,50,60.0,60,60,1.355,6.797,0.017,0
388,231,126,1,60.0,60,60,-1.0,-1.0,-1.0,0
389,232,125,25,60.0,60,60,2.717,24.206,0.733,0
390,233,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
391,234,125,7,60.0,60,60,1.752,4.393,0.607,0
392,235,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
393,236,125,16,60.0,60,60,2.133,12.071,0.917,0
394,237,125,3,60.0,60,60,0.85,1.0,0.699,0
395,238,125,26,60.0,60,60,2.56,10.764,0.247,0
396,239,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
397,240,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
398,241,125,19,60.0,60,60,2.769,28.288,0.288,0
399,242,132,1,168.0,168,168,-1.0,-1.0,-1.0,0
400,243,133,2,86.0,86,86,0.107,0.107,0.107,0
401,244,132,7,171.0,171,171,5.336,16.001,0.998,0
402,245,132,2,169.0,169,169,32.015,32.015,32.015,1
403,246,132,1,171.0,171,171,-1.0,-1.0,-1.0,0
404,246,133,8,86.0,86,86,6.271,43.059,0.0,0
405,247,134,3,218.0,218,218,20.023,20.086,19.96,1
406,248,132,1,129.0,129,129,-1.0,-1.0,-1.0,0
407,249,132,7,171.0,171,171,5.342,16.011,1.007,0
408,250,133,8,90.0,90,90,6.745,21.854,0.41,0
409,251,132,1,129.0,129,129,-1.0,-1.0,-1.0,0
410,252,134,3,179.0,179,179,20.023,20.086,19.959,1
