Time,MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
,True,28.286,4.959,7,"(63179,63302)","(68749,63354)","(66075,63489)","(97478,100299)","(126705,111520)","(103377,127908)"
,True,28.286,4.959,5,"(63192,63326)","(68758,63379)","(66091,63515)","(112613,109127)","(110031,120616)","(109805,110149)"
,True,28.286,4.959,6,"(63208,63335)","(68776,63388)","(66115,63524)","(120037,104886)","(115112,115236)","(128225,117854)"
,True,28.286,4.959,7,"(63211,63356)","(68778,63407)","(66121,63547)","(112150,113728)","(74320,120556)","(79468,121530)"
,True,28.286,4.959,7,"(63238,63348)","(68807,63403)","(66150,63541)","(116534,114551)","(114251,114967)","(70159,119457)"
,True,28.286,4.959,4,"(63228,63350)","(68795,63404)","(66139,63544)","(91092,119389)","(103108,115905)","(124903,119751)"
,True,28.286,4.959,4,"(63216,63359)","(68783,63411)","(66129,63552)","(111820,96337)","(120014,112022)","(108598,123106)"
,True,28.286,4.959,3,"(63223,63370)","(68791,63422)","(66139,63562)","(121008,108429)","(90778,114735)","(105992,124833)"
,True,28.286,4.959,5,"(63211,63379)","(68777,63434)","(66125,63577)","(129303,119957)","(95973,124489)","(108048,112091)"
,True,28.286,4.959,7,"(63219,63379)","(68785,63433)","(66132,63572)","(111848,104332)","(96367,119897)","(117601,121439)"
,True,28.286,4.959,6,"(63196,63372)","(68764,63425)","(66104,63564)","(122666,98043)","(126690,105760)","(72885,121797)"
,True,28.286,4.959,7,"(63165,63356)","(68732,63410)","(66067,63546)","(74715,110651)","(127907,113116)","(110675,125381)"
,True,28.285,4.959,6,"(63160,63358)","(68727,63411)","(66058,63546)","(126961,105943)","(117495,117380)","(128885,121333)"
,True,28.286,4.959,3,"(63143,63366)","(68712,63418)","(66041,63555)","(121867,109969)","(128458,110699)","(104837,111224)"
,True,28.286,4.959,5,"(63169,63376)","(68737,63430)","(66067,63569)","(120689,118910)","(122426,120241)","(75611,129392)"
,True,28.286,4.959,5,"(63178,63386)","(68745,63441)","(66078,63581)","(97756,124765)","(106390,127395)","(89962,107094)"
,True,28.286,4.959,4,"(63176,63382)","(68745,63438)","(66078,63579)","(83613,126627)","(120300,113778)","(110351,120703)"
,True,28.286,4.959,4,"(63195,63377)","(68763,63433)","(66098,63570)","(116670,98048)","(114392,125868)","(64436,123541)"
,True,28.286,4.959,3,"(63192,63357)","(68758,63410)","(66096,63548)","(100615,93852)","(83149,103719)","(47809,108886)"
,True,28.286,4.959,6,"(63197,63353)","(68763,63407)","(66103,63545)","(101849,108500)","(55712,122184)","(118626,125413)"
,True,28.286,4.959,7,"(63203,63359)","(68772,63412)","(66112,63551)","(101633,108235)","(104574,111223)","(130060,112420)"
,True,28.286,4.959,5,"(63192,63359)","(68759,63413)","(66099,63553)","(98105,123448)","(99964,123853)","(128255,126172)"
,True,28.286,4.959,11,"(63200,63369)","(68768,63425)","(66107,63562)","(124378,100497)","(110211,101106)","(118166,111328)"
,True,28.286,4.959,4,"(63193,63354)","(68761,63408)","(66098,63548)","(117158,127411)","(65630,107353)","(126374,109229)"
