MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
True,29.232,14.338,3,"(66342,62279)","(66712,65519)","(66171,68658)","(66081,68672)","(69375,65737)","(68592,70008)"
True,29.232,14.338,3,"(66342,62279)","(66712,65519)","(66171,68658)","(66081,68672)","(69375,65737)","(68592,70008)"
True,29.457,14.207,3,"(66072,62225)","(66437,65452)","(65900,68582)","(65952,68592)","(69375,65737)","(68592,70008)"
True,29.695,14.045,3,"(65660,62231)","(66020,65449)","(65490,68565)","(66067,65453)","(65534,68574)","(68592,70008)"
True,29.695,14.045,3,"(65660,62231)","(66020,65449)","(65490,68565)","(66067,65453)","(65534,68574)","(68592,70008)"
True,29.884,13.863,4,"(127842,13931)","(65593,62216)","(65952,65414)","(65420,68522)","(65416,68525)","(68592,70008)"
True,30.026,13.685,3,"(65737,62243)","(66088,65434)","(65565,68526)","(66065,65430)","(65542,68524)","(68592,70008)"
True,30.026,13.685,3,"(65737,62243)","(66088,65434)","(65565,68526)","(66065,65430)","(65542,68524)","(68592,70008)"
True,30.125,13.475,3,"(66215,62260)","(66580,65433)","(66045,68513)","(66019,68512)","(66528,65426)","(65993,68510)"
True,30.177,13.282,3,"(66865,62333)","(67230,65496)","(66701,68560)","(67208,65495)","(66676,68561)","(65993,68510)"
True,30.177,13.282,3,"(66865,62333)","(67230,65496)","(66701,68560)","(67208,65495)","(66676,68561)","(65993,68510)"
True,30.247,13.077,3,"(67244,62374)","(67613,65519)","(67077,68571)","(67058,68569)","(66865,68557)","(65993,68510)"
True,30.282,12.869,4,"(127634,19590)","(67714,62440)","(68088,65571)","(67546,68607)","(67342,68602)","(67156,68581)"
True,30.282,12.869,4,"(127634,19590)","(67714,62440)","(68088,65571)","(67546,68607)","(67342,68602)","(67156,68581)"
True,30.382,12.651,4,"(128277,11573)","(67657,62509)","(68017,65628)","(67490,68647)","(67541,68641)","(68115,65609)"
True,30.524,12.439,3,"(67151,62561)","(67518,65665)","(66984,68671)","(67036,68669)","(114917,77616)","(67107,68668)"
